trial_index,time_elapsed,phase,context_n,context_im,trial_n,rt,chosen_pirate,choice_optimal,outcome,pR_red,pR_white,pR_black,subject_id
82,288688.0,learn,0,city,0,838.5,red,1,1.0,0.6,0.3,0.1,ryan
84,292497.0,learn,1,city,0,298.8000000002794,red,0,0.0,0.7040666669280193,0.32135683287001293,0.08023465001340098,ryan
86,296425.0,learn,0,city,0,417.40000000037253,white,1,0.0,0.6707858720977166,0.3860112465802025,0.18749731183455112,ryan
88,300751.0,learn,1,city,0,816.2000000001863,black,1,0.0,0.8129219481220801,0.45051682239675817,0.269343406306751,ryan
90,304893.0,learn,0,city,0,631.8999999999069,red,1,1.0,0.7043042719636342,0.3994273590057394,0.13291075271028985,ryan
92,309168.0,learn,0,city,0,765.6000000000931,red,1,1.0,0.6201295894070186,0.29528738930539455,0.08335337728199385,ryan
94,313096.0,learn,1,city,0,418.1999999997206,red,1,1.0,0.6177042176639297,0.3700108009970603,0.13609188348997606,ryan
96,317030.0,learn,0,city,0,424.5,red,1,1.0,0.5403240431910846,0.30537124708530866,0.09586530305288365,ryan
98,320840.0,learn,0,city,0,300.6999999997206,red,1,1.0,0.6394554060534058,0.22240967379635637,0.15272195255531748,ryan
100,324668.0,learn,0,city,0,320.39999999990687,red,1,1.0,0.7100745231171444,0.40454611109496674,0.13077980871745795,ryan
102,328508.0,learn,0,city,0,328.70000000018626,red,0,0.0,0.6555107009089455,0.3451465886952835,0.2090585003907455,ryan
104,332526.0,learn,1,city,0,509.89999999990687,red,1,1.0,0.6199411746162656,0.3220517274420923,0.26663921646574656,ryan
106,337233.0,learn,0,city,0,1196.6999999997206,red,1,1.0,0.7129562755548317,0.46680668220210697,0.13677557799939163,ryan
108,341063.0,learn,1,city,0,321.5,red,0,0.0,0.6428774594443981,0.4984771655683272,0.18682620562153357,ryan
110,344934.0,learn,1,city,0,361.79999999981374,white,1,1.0,0.6870717170683863,0.5229887966445922,0.19522770092258113,ryan
112,349285.0,learn,1,city,0,840.6999999997206,white,0,1.0,0.5715867800764611,0.44594456861332193,0.1593474270881543,ryan
114,353261.0,learn,0,city,0,466.59999999962747,white,1,0.0,0.5889743394859055,0.36584397550654046,0.2051727249158401,ryan
116,358099.0,learn,0,city,0,1329.2000000001863,black,0,0.0,0.49201786618676296,0.3424688812682307,0.1361948995975135,ryan
118,361904.0,learn,0,city,0,293.89999999990687,red,1,1.0,0.5768072499502326,0.19428223772977718,0.13909088547753376,ryan
120,365672.0,learn,0,city,0,258.39999999990687,red,1,1.0,0.605513577724979,0.20520960959817713,0.12655250967459275,ryan
